#佣兵初始设定表,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#编号,#名称,用途,形象,等级,品质,力量,敏捷,智力,魅力,最大血量,特性0,特性1,特性2,特性3,普攻,绝招,浮空值,重力,崩坏点数,霸体系数,攻击延迟播放速率,攻击延迟速率持续时间,性别,羁绊,描述,武器,防具,饰品,药水,职业(CLASSIFY_WARRIOR=战士 CLASSIFY_ARCHER=弓手 CLASSIFY_CLERIC=牧师 CLASSIFY_WITCHER=魔法师)
#!id,pname,use,avatar,lv,quality,strength,agile,intelligence,charm,hp_max,feat0,feat1,feat2,feat3,normal_attack,skill,skyup_value,gravity_value,break,endure,slow_attack,attack_time,sex,relations,desc,weapon,armor,accessory,potion,classify
int,string,string,string,int,int,int,int,int,int,int,int,int,int,int,string,int,int,int,int,int,float,float,int,string,string,int,int,int,int,string
1,流浪剑士安妮,新手流程奖励,1,1,3,28,16,19,14,60,,,,,,1,20,90,100,,,,1,1|2,装备都是捡来的，却从来没坏,,,,,CLASSIFY_WARRIOR
2,旅法师露娜,新手流程奖励,2,1,3,17,15,21,12,60,,, ,,,61,20,90,100,,,,2,3|4,【阿曼达主教】承诺放满100头羊就请吃烤羊腿,,,,,CLASSIFY_WITCHER
3,菜格拉斯,新手流程奖励,3,1,3,17,24,15,13,60,,,,,,21,20,90,100,,,,1,5|6,离家出走的面瘫小孩，内心很想结交朋友,,,,,CLASSIFY_ARCHER
#剑士,,,#剑士,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,薄荷,No.17－20副本的奖励,1000,1,2,18,10,12,12,40,,,,,,1,20,90,100,,,,1,,家里绿色的鹦鹉逃走了,,,,,CLASSIFY_WARRIOR
1001,绿剑士弗洛格,募兵所,1001,1,2,16,10,11,9,40,,,,,,1,20,90,100,,,,1,,虽然和蛤蟆是亲戚但还是害怕他请自己喝茶,,,,,CLASSIFY_WARRIOR
1002,赤红之剑克里斯,限时礼包,1002,1,4,36,19,24,16,80,,,,,,2,20,90,100,,,,1,34|35,会精心准备礼物送给冒险途中素不相识的人,,,,,CLASSIFY_WARRIOR
1003,瑞妮,刮刮乐,1003,1,4,28,24,24,18,80,,,,,,3,20,90,100,,,,1,,装备了全套雨具出门竟是大晴天,,,,,CLASSIFY_WARRIOR
1004,丛林之剑庄格尔,,1004,1,5,42,29,25,20,100,,,,,,4,20,90,100,,,,1,9|10,热带水果真好吃，但是吃肉最开心~~,,,,,CLASSIFY_WARRIOR
1005,闪剑克莱尔,No.13－16副本的奖励,1005,1,2,16,9,11,12,40,,,,,,5,20,90,100,,,,1,,应酬不断，经常打到一半挂机跑去参加舞会,,,,,CLASSIFY_WARRIOR
1006,孤独剑士隆,每周奖励－第7天,1006,1,5,48,25,31,21,100,,,,,,6,20,90,100,,,,1,,不，我没有兄弟姐妹,,,,,CLASSIFY_WARRIOR
1007,骑士莱福特,礼包,1007,1,3,24,18,17,16,60,,,,,,7,20,90,100,,,,1,7,国王禁卫军-白旗,,,,,CLASSIFY_WARRIOR
1008,骑士莱特,限时礼包,1008,1,3,23,13,17,15,60,,,,,,8,20,90,100,,,,1,8,国王禁卫军-红旗,,,,,CLASSIFY_WARRIOR
1009,电剑克莱因,刮刮乐,1009,1,3,23,18,17,14,60,,,,,,9,20,90,100,,,,1,,挂机替身,,,,,CLASSIFY_WARRIOR
1010,异剑威尔德,,1010,1,3,24,15,16,14,60,,,,,,10,20,90,100,,,,1,,怎么可以没有围巾人！我来组成牛角！,,,,,CLASSIFY_WARRIOR
1011,巨钳剑士斯利姆,,1011,1,2,18,12,10,9,40,,,,,,11,20,90,100,,,,1,,油焖大虾，麻辣小龙虾，虾饺，炸虾天妇罗，呼呼呼^q^,,,,,CLASSIFY_WARRIOR
1012,圣殿骑士亨特,No.29－32副本的奖励,1012,1,3,27,17,13,13,60,,,,,,12,20,90,100,,,,1,,脸上的刀疤是做菜时留下的勋章－炊事班班长如是说,,,,,CLASSIFY_WARRIOR
1013,丛林之剑阿菲卡,,1013,1,4,33,21,24,19,80,,,,,,13,20,90,100,,,,1,11|12,爱的眼罩下，隐藏的她的秘密,,,,,CLASSIFY_WARRIOR
1014,眩晕剑士黛孜,刮刮乐,1014,1,3,26,12,16,13,60,,,,,,14,20,90,100,,,,1,,旋风斩是她的普通攻击方式，所以，呃，有点晕,,,,,CLASSIFY_WARRIOR
1015,圣殿骑士布莱克,No.9－12副本的奖励,1015,1,2,17,10,11,9,40,,,,,,15,20,90,100,,,,1,,他所处的纬度比较低，且喜欢日光浴,,,,,CLASSIFY_WARRIOR
1016,圣殿骑士米克,,1016,1,2,16,11,8,8,40,,,,,,16,20,90,100,,,,1,,刚从扈从升级为骑士，还有点不适应,,,,,CLASSIFY_WARRIOR
1017,圣殿骑士普尔,,1017,1,3,25,17,18,14,60,,,,,,17,20,90,100,,,,1,15|17,很喜欢维护自己的胡子,,,,,CLASSIFY_WARRIOR
1018,丛林之剑布林克,,1018,1,4,38,24,23,16,80,,,,,,18,20,90,100,,,,1,13|14,最喜欢的植物是薰衣草,,,,,CLASSIFY_WARRIOR
1019,维京战士瑞德,,1019,1,5,41,23,22,24,100,,,,,,19,20,90,100,,,,1,,发起狂来，连她自己都害怕,,,,,CLASSIFY_WARRIOR
1020,绿发剑士朵儿,礼包,1020,1,5,44,27,27,23,100,,,,,,20,20,90,100,,,,1,,非常珍爱自己的发饰,,,,,CLASSIFY_WARRIOR
1021,闪剑咻兜丽,No.25－28副本的奖励,1021,1,3,26,16,15,15,60,,,,,,1,20,90,100,,,,1,16|18,网购的胡子好像不是太满意！,,,,,CLASSIFY_WARRIOR
1022,侠盗剑士南妮,No.21－24副本的奖励,1022,1,3,25,19,12,17,60,,,,,,1,20,90,100,,,,1,,如果不用这种眼罩，可能大家还认不出她来。,,,,,CLASSIFY_WARRIOR
1023,异族剑士斯丽尔,No.1－4副本的奖励,1023,1,1,7,5,5,4,20,,,,,,1,20,90,100,,,,1,40,和本菲卡非常要好，所以……,,,,,CLASSIFY_WARRIOR
1024,维京战士奈尔,,1024,1,2,16,9,11,9,40,,,,,,1,20,90,100,,,,1,,很少说话,,,,,CLASSIFY_WARRIOR
1025,圣殿骑士德莱塞,,1025,1,2,17,10,9,9,40,,,,,,1,20,90,100,,,,1,28|29,每天要挥剑一万下，你见过教堂早上4点的样子嘛？,,,,,CLASSIFY_WARRIOR
1026,紫发剑士帕丽丝,,1026,1,2,18,9,12,9,40,,,,,,1,20,90,100,,,,1,,刚换的新发型，大家都很喜欢呢,,,,,CLASSIFY_WARRIOR
