#全局变量表,,
#!name,value,desc
#@string,string,string
VERSION,1.0,版本号
MAX_MERCENARY,99,最大佣兵数量
MAX_GOLD,999999999999,金币上限
MAX_DIAMOND,999999999999,钻石上限
HPREC_POINT_BASE,10,恢复1点hp所需基础点数
QUEST_FLUSH_COST,10,刷新任务所需元宝
MAX_ITEM,99,最大道具数量
MAX_FLOOR,99,最大楼层数量
INIT_GOLD,200,初始金钱数量
INIT_DIAMOND,50,初始钻石数量
INIT_FLOOR,0,初始楼层
COMBO_INTERVAL,1000,连击判定的最大间隔，单位毫秒
SKILL_INTERVAL,1000,技能攻击默认间隔，单位毫秒
BATTLE_TIME_UP,60,战斗默认结束时间，单位秒
MAX_ATTRIBUTE,100,佣兵属性最大值
REPEATED_SKILL_XP,5,重复时转换的技能经验
VOLUMN_WARNING_NUM,3,需要提示的容量
REQUIRED_FLOOR_NUM,4,最后一步引导需求楼层数
GUIDE_QUEST_ID,1,新手引导时的任务编号
GUIDE_FLOOR_NUM,6,触发化身引导小漫画楼层数
GUIDE_LOST_COMIC_FLOOR_NUM,20,触发缺失漫画楼层数
GUIDE_SHOP_BONUS,4:1:1:10000,新手引导时刮卡的奖励
MAX_QUEST_STARS,5,最大任务难度星星数量
MAX_QUALITY,5,最大品质
BP_RECOVER_TIME,300,讨伐次数恢复1点时间（秒）
BP_RECOVER_COST,4,1钻石恢复的讨伐次数
ITEMVOL_SHOP_ID,2001,仓库扩容对应商城编号
MERCENARY_VOL_SHOP_ID,2002,兵营扩容对应商城编号
BATTLE_SKILL_TIP_ASSOCIATE_TASK_ID,1,战斗技能点击提示绑定任务ID
PK_CONQUERINGTIME_FLUSH_COST,10,刷新占领时间所需钻石
PK_CONQUEREDTIME_FLUSH_COST,10,刷新被占领时间所需钻石
PK_ENEMY_FLUSH_COST,12,刷新对手所需钻石
PK_CONQUER_TIME,7200,占领所需时间
PK_HELP_COST,10,pk外援消耗
PK_HELP_MONSTER,18003|18004|18005|18002|18020|18015|18016|18017|18018|18019,pk怪物列表
PVP_COST_BP,1,竞技大厅pk所需体力
NOCONSUMEFLAG,0,是否消耗体力、金钱、钻石的标志
GUILDCREATECOST,1:0:50000,创建公会消耗
GUILD_APPLY_LIMIT,10,可申请加入的公会数量上限
FLOOR_MOVEDOWNINDEX,-1,楼层置底移动到的索引值(地面1层为0)
PKHELP_COMIC_PAGE,1,pk引导漫画书页
PROJECT_BURST_TIME,30,1个钻石能加速的时间长度（秒）
PROJECT_BURST_COST_MAX,600,加速消耗的钻石上限
ACTIVITY_FLOOR_VISIBLE_CONDITION_MISSION_ID,4,活动楼层显示绑定的任务ID
GUILD_PKLIST_REFRESH_COST,10,刷新pk对手消耗钻石
SHARE_BONUS,2:0:10:10000,分享奖励
BATTLEPOWER_HP_RATE,10,hp占战斗力的比例
MAX_MAIL_NUM,50,最大邮件数
#SDK,,
sdk_verify_url,http://114.55.113.52:8080/MoeJMFsdkAuth,SDK验证URL
#SDK Share,,
sdk_share_title,星屑之塔,
sdk_share_title_url,http://l.taptap.com/123/ja65dliJ,
sdk_share_site,星屑之塔,
sdk_share_site_url,http://l.taptap.com/123/ja65dliJ,
sdk_share_text,星屑之塔,
sdk_share_url,http://l.taptap.com/123/ja65dliJ,
#奖励类型(element读取value，而不读取id）,,
BONUS_GOLD,1,金币
BONUS_DIAMOND,2,钻石
BONUS_BUILDING,3,建筑
BONUS_MERCENARY,4,佣兵
BONUS_ITEM,5,道具
BONUS_MERCENARYXP,6,佣兵经验
BONUS_SKILL,7,必杀配方
BONUS_FEAT,8,特长配方
BONUS_ITEMRECIPE,9,道具配方
BONUS_GOLD_FLOOR,10,金币(与建筑层数挂钩)
BONUS_DIAMOND_FLOOR,11,钻石(与建筑层数挂钩)
BONUS_BATTLEPOINT,12,体力
BONUS_ITEMMAX,13,仓库容量
BONUS_MERCENARYMAX,14,兵营容量
BONUS_COLLECTION,15,解锁图鉴收集
BONUS_MODULE_SWITCH,16,模块开关
BONUS_LIBRARY_PAGE,17,书籍页面
BONUS_GUILD_XP,18,公会经验
BONUS_MERCENARY_ATTR,19,佣兵属性（力/敏/智/魅/hp/最大hp 参考list_attribute中的name)
#任务进度相关,,
TASK_FIRST_ID,1,第一个任务ID
TASK_FIRST_SUB_ID,1,第一个子任务ID
TASK_FIRST_TARGET_TYPE,6,第一个任务目标类型
TASK_FIRST_TARGET_ID,Intro,第一个任务目标类型ID
TASK_AVATAR_ID,2,化身任务ID
TASK_GOD_START,6,开始刷新女神的任务编号
TASK_LOGINBONUS_START,3,开始弹出登陆奖励的任务编号
#任务目标类型,,
TASK_FLOORNUM,1,建筑达到指定层数
TASK_FLOORID,2,建筑指定楼层
TASK_QUEST,3,完成指定编号的任务
TASK_MERCENARY,4,获得指定佣兵(0为获得任意佣兵)
