#世界boss奖励,,,,,,,,
#编号,活动编号,排名起,排名终,奖励,邮件发件人,邮件内容,邮件显示图标,邮件有效期(分)
#!id,act_id,range_start,range_end,bonus,mail_sender,mail_content,mail_showelem,mail_lifetime
#@int,int,int,int,string,string,string,string,int
1,1,1,1,4:3016:1:10000|2:0:88:10000|1:0:1000:10000,世界boss,挑战世界boss成功,4:3001:1:10000,43200
2,1,2,2,2:0:66:10000|1:0:1000:10000,世界boss,挑战世界boss成功,4:3001:1:10000,43200
3,1,3,3,2:0:335:10000|1:0:1000:10000,世界boss,挑战世界boss成功,4:3001:1:10000,43200
4,1,4,10,1:0:1000:10000,世界boss,挑战世界boss成功,4:3001:1:10000,43200
5,1,11,20,1:0:1000:10000,世界boss,挑战世界boss成功,4:3001:1:10000,43200
6,1,21,50,1:0:1000:10000,世界boss,挑战世界boss成功,4:3001:1:10000,43200
7,1,51,100,1:0:1000:10000,世界boss,挑战世界boss成功,4:3001:1:10000,43200
8,2,1,1,1:0:1000:10000,世界boss,挑战世界boss成功,4:3001:1:10000,43200
9,2,2,2,1:0:1000:10000,世界boss,挑战世界boss成功,4:3001:1:10000,43200
10,2,3,3,1:0:1000:10000,世界boss,挑战世界boss成功,4:3001:1:10000,43200
11,2,4,10,1:0:1000:10000,世界boss,挑战世界boss成功,4:3001:1:10000,43200
12,2,11,20,1:0:1000:10000,世界boss,挑战世界boss成功,4:3001:1:10000,43200
13,2,21,50,1:0:1000:10000,世界boss,挑战世界boss成功,4:3001:1:10000,43200
14,2,51,100,1:0:1000:10000,世界boss,挑战世界boss成功,4:3001:1:10000,43200
15,3,1,1,1:0:1000:10000,世界boss,挑战世界boss成功,4:3001:1:10000,43200
16,3,2,2,1:0:1000:10000,世界boss,挑战世界boss成功,4:3001:1:10000,43200
17,3,3,3,1:0:1000:10000,世界boss,挑战世界boss成功,4:3001:1:10000,43200
18,3,4,10,1:0:1000:10000,世界boss,挑战世界boss成功,4:3001:1:10000,43200
19,3,11,20,1:0:1000:10000,世界boss,挑战世界boss成功,4:3001:1:10000,43200
20,3,21,50,1:0:1000:10000,世界boss,挑战世界boss成功,4:3001:1:10000,43200
21,3,51,100,1:0:1000:10000,世界boss,挑战世界boss成功,4:3001:1:10000,43200
