#道具列表,,,,,,,,,,,,,,,,,,,,,
#道具配置表,名称,资源,道具类型描述,描述,职业(CLASSIFY_WARRIOR=战士 CLASSIFY_ARCHER=弓手 CLASSIFY_CLERIC=牧师 CLASSIFY_WITCHER=魔法师 不配为all),类型(weapon 武器 armor 防具 accessory 饰品 potion 药品装备 gift 消耗道具（礼包）material 材料 mercenary 给佣兵使用的道具),品质,出售点数,售价,打造点数,打造价格,召唤点数,堆叠数量(0或者不填表示不堆，若有堆叠则满一堆后无法再获得),奖励,获得时解锁特长,获得时解锁必杀,力量,敏捷,智力,魅力,最大血量
#!id,item_name,resource,type_desc,desc,classify,item_type,quality,point,sell_price,make_point,make_price,recruit_point,max,bonus,feat_unlock,skill_unlock,strength,agile,intelligence,charm,hp_max
#@int,string,string,string,string,string,string,int,int,int,int,int,int,int,string,int,int,int,int,int,int,int
100,扫荡券,任务所LV1,特殊道具,扫荡副本需要消耗扫荡券,,material,1,,100,,,,99,,,,,,,,
1000,竖劈奥义书,书本lv1,奥义书,学习竖劈技能所需消耗的奥义书,,material,1,,200,,,,99,,,1,,,,,
1001,断山岳奥义书,书本lv2,奥义书,学习断山岳技能所需消耗的奥义书,,material,2,,400,,,,99,,,6,,,,,
1002,斩云空奥义书,书本lv3,奥义书,学习斩云空技能所需消耗的奥义书,,material,3,,800,,,,99,,,11,,,,,
1003,分星辰奥义书,书本lv4,奥义书,学习分星辰技能所需消耗的奥义书,,material,4,,1600,,,,99,,,16,,,,,
1004,连射奥义书,书本lv1,奥义书,学习连射技能所需消耗的奥义书,,material,1,,100,,,,99,,,21,,,,,
1005,多重箭奥义书,书本lv2,奥义书,学习多重箭技能所需消耗的奥义书,,material,2,,200,,,,99,,,26,,,,,
1006,箭雨奥义书,书本lv3,奥义书,学习箭雨技能所需消耗的奥义书,,material,3,,400,,,,99,,,31,,,,,
1007,利刃风暴奥义书,书本lv4,奥义书,学习利刃风暴技能所需消耗的奥义书,,material,4,,800,,,,99,,,36,,,,,
1008,法球奥义书,书本lv1,奥义书,学习法球技能所需消耗的奥义书,,material,1,,1600,,,,99,,,41,,,,,
1009,破坏奥义书,书本lv2,奥义书,学习破坏技能所需消耗的奥义书,,material,2,,100,,,,99,,,46,,,,,
1010,碎裂奥义书,书本lv3,奥义书,学习碎裂技能所需消耗的奥义书,,material,3,,200,,,,99,,,51,,,,,
1011,湮灭奥义书,书本lv4,奥义书,学习湮灭技能所需消耗的奥义书,,material,4,,400,,,,99,,,56,,,,,
1012,冲击奥义书,书本lv1,奥义书,学习冲击技能所需消耗的奥义书,,material,1,,800,,,,99,,,61,,,,,
1013,爆发奥义书,书本lv2,奥义书,学习爆发技能所需消耗的奥义书,,material,2,,1600,,,,99,,,66,,,,,
1014,能量喷泉,书本lv3,奥义书,学习能量喷泉技能所需消耗的奥义书,,material,3,,100,,,,99,,,71,,,,,
1015,正义冲击,书本lv4,奥义书,学习正义冲击技能所需消耗的奥义书,,material,4,,200,,,,99,,,76,,,,,
2000,力量之书,卷轴lv1,启发书,学习特长：力量Lv1,,material,2,,500,,,,99,,1,,,,,,
2001,敏捷之书,卷轴lv1,启发书,学习特长：敏捷Lv1,,material,2,,500,,,,99,,6,,,,,,
2002,智力之书,卷轴lv1,启发书,学习特长：智力Lv1,,material,2,,500,,,,99,,11,,,,,,
2003,魅力之书,卷轴lv1,启发书,学习特长：魅力Lv1,,material,2,,500,,,,99,,16,,,,,,
2004,杰出力量之书,卷轴lv2,启发书,学习特长：杰出力量Lv1,,material,3,,1000,,,,99,,21,,,,,,
2005,杰出敏捷之书,卷轴lv2,启发书,学习特长：杰出敏捷Lv1,,material,3,,1000,,,,99,,26,,,,,,
2006,杰出智力之书,卷轴lv2,启发书,学习特长：杰出智力Lv1,,material,3,,1000,,,,99,,31,,,,,,
2007,杰出魅力之书,卷轴lv2,启发书,学习特长：杰出魅力Lv1,,material,3,,1000,,,,99,,36,,,,,,
2008,超凡力量之书,卷轴lv3,启发书,学习特长：超凡力量Lv1,,material,4,,2000,,,,99,,41,,,,,,
2009,超凡敏捷之书,卷轴lv3,启发书,学习特长：超凡敏捷Lv1,,material,4,,2000,,,,99,,46,,,,,,
2010,超凡智力之书,卷轴lv3,启发书,学习特长：超凡智力Lv1,,material,4,,2000,,,,99,,51,,,,,,
2011,超凡魅力之书,卷轴lv3,启发书,学习特长：超凡魅力Lv1,,material,4,,2000,,,,99,,56,,,,,,
2012,队伍力量之书,卷轴lv2,启发书,学习特长：队伍力量Lv1,,material,3,,1000,,,,99,,61,,,,,,
2013,队伍敏捷之书,卷轴lv2,启发书,学习特长：队伍敏捷Lv1,,material,3,,1000,,,,99,,66,,,,,,
2014,队伍智力之书,卷轴lv2,启发书,学习特长：队伍智力Lv1,,material,3,,1000,,,,99,,71,,,,,,
2015,队伍魅力之书,卷轴lv2,启发书,学习特长：队伍魅力Lv1,,material,3,,1000,,,,99,,76,,,,,,
#2000,低级启发书,任务所2,启发书,学习品质1特长所需消耗的启发书,,material,1,,400,,,,99,,,,,,,,
#2001,普通启发书,任务所2,启发书,学习品质2特长所需消耗的启发书,,material,2,,800,,,,99,,,,,,,,
#2002,中级启发书,任务所2,启发书,学习品质3特长所需消耗的启发书,,material,3,,1600,,,,99,,,,,,,,
#2003,高级启发书,任务所LV5,启发书,学习品质4特长所需消耗的启发书,,material,4,,100,,,,99,,,,,,,,
#2004,终极启发书,任务所LV5,启发书,学习品质5特长所需消耗的启发书,,material,5,,200,,,,99,,,,,,,,
3000,特级奶茶店图纸,蓝图蓝色,建筑图纸,可以扩建特级奶茶店,,material,3,,500,,,,99,,,,,,,,
3001,召唤大厅图纸,蓝图橙色,建筑图纸,可以扩建召唤大厅。,,material,5,,500,,,,99,,,,,,,,
4000,安妮的大剑,佣兵的任务通用奖励,召唤道具,50%几率成功召唤佣兵：安妮,,material,3,,500,,,100,99,4:1:1:5000,,,,,,,
10000,体力药水,icon_0015_006,特殊道具,恢复体力60点,,gift,1,,400,,,,99,12:0:60:10000,,,,,,,
10001,补偿礼包,出售2,特殊道具,包含：体力60点，钻石x100,,gift,5,,800,,,,99,12:0:60:10000|2:0:100:10000,,,,,,,
#1,法师之证Lv1,法师lv6,,菜鸟法师获得的认证,CLASSIFY_WITCHER,potion,1,1000,100,1000,800,,,,,,,,2,,
#2,法师之证Lv2,法师lv7,,入门法师获得的认证,CLASSIFY_WITCHER,potion,2,1000,200,1000,800,,,,,,,,4,,
#3,法师之证Lv3,法师lv8,,作为法师，你已经获得了一部分人的尊敬。,CLASSIFY_WITCHER,potion,3,1000,400,1000,800,,,,,,,,6,,
#4,法师之证Lv4,法师lv9,,你已经在法师这个职业上取得了一定的成就。,CLASSIFY_WITCHER,potion,4,1000,800,1000,800,,,,,,,,8,,
#5,法师之证Lv5,法师lv10,,大多数法师都以你为目标，毫无疑问，你已经是公认的大法师了。,CLASSIFY_WITCHER,potion,5,1000,1600,1000,800,,,,,,,,10,,
#6,主教之证Lv1,主教lv1,,你熟读女神的教义，这已经是一般人做不到的事情了。,CLASSIFY_CLERIC,potion,1,1000,100,1000,800,,,,,,,,,2,
#7,主教之证Lv2,主教lv2,,在对女神教义的理解上，你有所建树。特别是女神自己都不记得说过什么。,CLASSIFY_CLERIC,potion,2,1000,200,1000,800,,,,,,,,,4,
#8,主教之证Lv3,主教lv3,,获得女神神恩赐予，这证明你在品德心性上有很高的修养。,CLASSIFY_CLERIC,potion,3,1000,400,1000,800,,,,,,,,,6,
#9,主教之证Lv4,主教lv4,,你在世间践行教义上，比大多数人都走得要远。,CLASSIFY_CLERIC,potion,4,1000,800,1000,800,,,,,,,,,8,
#10,主教之证Lv5,主教lv5,,大多数牧师都将你称呼为：神之侧的大人。,CLASSIFY_CLERIC,potion,5,1000,1600,1000,800,,,,,,,,,10,
#11,游侠之证Lv1,游戏LV1,,飞翼坠饰，提高敏捷，也能带来魅力加成！（上街回头率太高！）,CLASSIFY_ARCHER,potion,1,1000,100,1000,800,,,,,,,2,,,
#12,游侠之证Lv2,游戏LV2,,钻石戒指，10克拉。闪瞎对面的生物。,CLASSIFY_ARCHER,potion,2,1000,200,1000,800,,,,,,,4,,,
#13,游侠之证Lv3,游戏LV3,,火神的盾牌，输入魔力会冒火，所以被视为野外宿营的神器。,CLASSIFY_ARCHER,potion,3,1000,400,1000,800,,,,,,,6,,,
#14,游侠之证Lv4,游戏LV4,,不够蓝是因为过期了，但还是有点用的！,CLASSIFY_ARCHER,potion,4,1000,800,1000,800,,,,,,,8,,,
#15,游侠之证Lv5,游戏LV5,,这个盾牌有神奇的魔力，让人忍不住往上面打，而忽视攻击其它部位。,CLASSIFY_ARCHER,potion,5,1000,1600,1000,800,,,,,,,10,,,
#16,战士之证Lv1,剑士lv1,,你懂得战士其实是守护者，这就足够了。,CLASSIFY_WARRIOR,potion,1,1000,100,1000,800,,,,,,2,,,,
#17,战士之证Lv2,剑士lv2,,你的勇气才是真正的利剑，勇敢的战士！,CLASSIFY_WARRIOR,potion,2,1000,200,1000,800,,,,,,4,,,,
#18,战士之证Lv3,剑士lv3,,无畏已经是你的基本素养，你追求的是更高的荣誉！,CLASSIFY_WARRIOR,potion,3,1000,400,1000,800,,,,,,6,,,,
#19,战士之证Lv4,剑士lv4,,守护弱者，热衷挑战，无所畏惧，要是再加上一把好武器，真是太棒了！,CLASSIFY_WARRIOR,potion,4,1000,800,1000,800,,,,,,8,,,,
#20,战士之证Lv5,剑士lv5,,人们的目光追随你的背影，仿佛站在你的身后，就具有无限的力量！,CLASSIFY_WARRIOR,potion,5,1000,1600,1000,800,,,,,,10,,,,
#21,冒险之证Lv1,冒险lv1,,你至少出外探险过了……,,potion,1,1000,100,1000,800,,,,,,1,1,1,1,
#22,冒险之证Lv2,冒险lv2,,你开始积极的探索这个破碎的世界。,,potion,2,1000,200,1000,800,,,,,,2,2,2,2,
#23,冒险之证Lv3,冒险lv3,,在外面探险，大家都想听你的意见，你已经是权威了。,,potion,3,1000,400,1000,800,,,,,,3,3,3,3,
#24,冒险之证Lv4,冒险lv4,,你现在也有了坐在酒馆里面吹牛的雄厚资本。,,potion,4,1000,800,1000,800,,,,,,4,4,4,4,
#25,冒险之证Lv5,冒险lv5,,你正在不停的探索这个破碎世界的奥秘，比谁走得都远一点。,,potion,5,1000,1600,1000,800,,,,,,5,5,5,5,
#测试用,,,,,,,,,,,,,,,,,,,,,
#1001,魔杖菲尔特,icon_0020_001,,究极之神兵，有自主意识，对持有者发动持续的诅咒。,,weapon,,9999,9999,9999,99999,,,,,,44,44,44,44,
#1002,浑沌之极意,icon_0010_012,,吸收全属性伤害。,,armor,,9999,9999,9999,99999,,,,,,44,44,44,44,
#1003,巴克特灵戒,icon_0012_010,,来自异界之人赠予的戒指。,,accessory,,9999,9999,9999,99999,,,,,,44,44,44,44,
#1004,圣灵药,魅力,,复活并恢复所有体力。,,potion,,9999,9999,9999,99999,,,,,,44,44,44,44,
#1005,体力药水,魅力,,恢复战斗次数,,gift,,,,,,,99,12:0:0:10000,,,,,,,
#1006,仓库格子,魅力,,仓库容量+1,,gift,,,,,,,99,13:0:1:10000,,,,,,,
#1007,兵营格子,魅力,,兵营容量+1,,gift,,,,,,,99,14:0:1:10000,,,,,,,
#1008,大礼包,魅力,,获得好几个奖励,,gift,,,,,,,99,1:0:100:10000|2:0:100:10000,,,,,,,
#1009,通用技能书,,,,,material,1,,,,,,,,,,,,,,
#1010,通用秘传书,,,,,material,1,,,,,,,,,,,,,,
#1012,雪瓶,,,恢复100点hp,,mercenary,,,,,,,99,19:hp:100:10000,,,,,,,
#1013,小召唤石,佣兵的任务通用奖励,,可以召唤佣兵,,material,,,,,,100,99,4:7022:1:1000|4:7033:1:1000|4:7032:1:1000|4:1033:1:1000|4:1032:1:1000|,,,,,,,
#1014,中召唤石,佣兵的任务通用奖励,,可以召唤佣兵,,material,,,,,,200,99,4:3009:1:1000|4:3008:1:1000|4:1034:1:1000|4:1033:1:1000|4:1032:1:1000|4:1031:1:1000,,,,,,,
#1015,大召唤石,佣兵的任务通用奖励,,可以召唤佣兵,,material,,,,,,300,99,4:7022:1:1000|4:7033:1:1000|4:7032:1:1000|4:1033:1:1000|4:1032:1:1000|,,,,,,,
#1016,特大召唤石,佣兵的任务通用奖励,,可以召唤佣兵,,material,,,,,,400,99,4:3009:1:1000|4:3008:1:1000|4:1034:1:1000|4:1033:1:1000|4:1032:1:1000|4:1031:1:1000,,,,,,,
#1017,特级奶茶店图纸,游戏LV1,,可以增筑特级奶茶店,,material,,,,,,,99,,,,,,,,
